timestamp,generation,eval_id,cat,x1,x2,x3,x4,x5,x6,x7,x8,x9,objective,phase
1761086286.55418,26,2272,medio,100,96,100,100,98,100,100,97,100,967.392467419611,GA
1761086286.55418,26,2273,medio,100,100,100,99,98,97,100,99,100,969.6896780297943,GA
1761086286.55418,26,2274,baixo,100,100,100,99,95,99,100,98,100,947.3391107891547,GA
1761086286.55418,26,2275,medio,99,100,99,100,96,100,100,100,98,968.5422625876892,GA
1761086286.55418,26,2276,medio,100,100,100,91,97,99,100,97,98,956.8664127044158,GA
1761086286.55418,26,2277,medio,97,100,100,100,100,42,99,100,100,910.8466193857341,GA
1761086286.55418,26,2278,alto,100,99,99,96,100,100,92,97,100,953.1218705351532,GA
1761086286.55418,26,2279,medio,99,99,99,4,100,99,100,97,95,866.9719565235837,GA
1761086286.55418,26,2280,medio,100,100,100,100,100,86,99,100,100,957.937721812022,GA
1761086286.55418,26,2281,baixo,100,20,99,26,100,98,99,97,100,788.971951389341,GA
1761086286.55418,26,2282,medio,97,100,99,100,96,100,100,98,100,966.4254575019897,GA
1761086286.55418,26,2283,medio,100,95,100,98,98,99,100,100,100,966.3109814237014,GA
1761086286.55418,26,2284,medio,100,100,100,100,95,99,100,95,100,964.8668777458902,GA
1761086286.55418,26,2285,baixo,100,100,100,99,95,99,100,100,95,943.899867828269,GA
1761086286.55418,26,2286,medio,97,100,95,100,95,99,100,97,100,958.699247739249,GA
1761086286.55418,26,2287,medio,100,100,100,99,100,100,100,52,100,927.5012894439418,GA
1761086286.55418,26,2288,medio,95,100,100,99,100,100,100,97,100,967.2174449865298,GA
1761086286.55418,26,2289,medio,97,100,100,95,96,65,100,98,100,924.4069714945094,GA
1761086286.5551786,26,2290,medio,100,100,100,100,100,100,100,100,100,976.7026521514317,PS_end
1761086286.5551786,26,2291,medio,100,100,100,99,100,100,100,98,100,973.7405029507361,PS_end
1761086286.5551786,26,2292,medio,100,100,100,99,100,100,100,98,99,972.7734930331148,PS_end
